epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2506,0.47483,3.1128,0.96266,0.00333,1,0.14157,0.16238,0.31676,3.06035,0.79111,6e-05,6e-05,6e-05
2,10.8035,0.55143,3.32463,0.95367,0.00333,1,0.55644,0.51128,0.30226,3.03515,0.73768,0.000137228,0.000137228,0.000137228
3,11.1334,0.4526,2.91527,0.89961,0.00333,1,0.73871,0.65259,0.30724,3.00518,0.73154,0.000211288,0.000211288,0.000211288
4,11.4832,0.65291,2.54494,1.00134,0.00333,1,0.90929,0.73912,0.39323,2.89382,0.79248,0.00028218,0.00028218,0.00028218
5,11.8872,0.5068,2.04587,1.00497,0.00333,1,0.88107,0.78279,0.44629,2.82332,0.83036,0.000349904,0.000349904,0.000349904
6,12.3569,0.56483,1.80936,0.98546,0.00333,1,0.93338,0.81982,0.47347,2.78046,0.84617,0.00041446,0.00041446,0.00041446
7,12.7103,0.69574,1.62907,1.09369,0.00819,1,0.98167,0.82211,0.65312,2.7088,1.0069,0.000475848,0.000475848,0.000475848
8,13.2013,0.52027,1.37261,0.90932,0.00333,1,0.94357,0.74028,0.64552,2.7349,1.01255,0.000534068,0.000534068,0.000534068
9,13.5234,0.54751,1.2664,0.91171,0.00333,1,0.955,0.78017,0.57839,2.76018,0.97235,0.00058912,0.00058912,0.00058912
10,13.8395,0.53044,1.13844,0.91778,0.0079,1,0.91208,0.79834,0.53838,2.78844,0.92699,0.000641004,0.000641004,0.000641004
11,14.2132,0.55238,1.31757,0.9701,1,0.50948,0.83493,0.71206,0.56637,2.78759,0.92686,0.00068972,0.00068972,0.00068972
12,14.5545,0.55134,1.33644,0.9383,1,0.28111,0.88432,0.72871,0.56945,2.82344,0.9652,0.000735268,0.000735268,0.000735268
